
tooltip_Init_TimeWarpA                                   \nInitialisation, veuillez patienter ...
material_FX2K_Tile12									 Tapis Bleu
material_FX2K_Tile13									 Sol en Bois Foncé
material_FX2K_Tile14									 Tapis Rouge
material_FX2K_Tile15									 Tapis Marron
material_FX2K_Tile16									 Tapis Mauve
material_LooseStone										 Pierre lâche
material_PavedFence										 Clôture pavée
material_PavedBushFence									 Clôture pavée avec buisson
material_TiledFence										 Clôture carrelée
material_TiledBushFence									 Clôture Carrelée avec buisson
material_GrassFence										 Clôture avec gazon
material_JailFence										 Clôture de cellule
material_YellowBigMosaic								 Mosaïque Jaune
material_GreenBigMosaic									 Mosaïque Verte
material_WhiteBigMosaic									 Mosaïque Blanche
material_RedBigMosaic									 Mosaïque Rouge
material_GreyBigMosaic									 Mosaïque Grise

material_Farmland										 Compost

material_T0_WhiteTile									 Carrelage blanc
material_BL_PublicTile									 Carrelage public
material_BR_PublicTile									 Carrelage public
material_C_PublicTile									 Carrelage public
material_T3_PublicTile									 Carrelage public
material_T6_PublicTile									 Carrelage public
material_T9_PublicTile									 Carrelage public
material_T12_PublicTile									 Carrelage public
material_TL_PublicTile									 Carrelage public
material_TR_PublicTile									 Carrelage public
material_X_PublicTile									 Carrelage public
material_Y_PublicTile									 Carrelage public
material_BL_PublicConcrete								 Béton Public
material_BR_PublicConcrete								 Béton Public
material_C_PublicConcrete								 Béton Public
material_T3_PublicConcrete								 Béton Public
material_T6_PublicConcrete								 Béton Public
material_T9_PublicConcrete								 Béton Public
material_T12_PublicConcrete								 Béton Public
material_TL_PublicConcrete								 Béton Public
material_TR_PublicConcrete								 Béton Public
material_X_PublicConcrete								 Béton Public
material_Y_PublicConcrete								 Béton Public
material_BL_StaffTile									 Carrelage du Personnel
material_BR_StaffTile									 Carrelage du Personnel
material_C_StaffTile									 Carrelage du Personnel
material_T3_StaffTile									 Carrelage du Personnel
material_T6_StaffTile									 Carrelage du Personnel
material_T9_StaffTile									 Carrelage du Personnel
material_T12_StaffTile									 Carrelage du Personnel
material_TL_StaffTile									 Carrelage du Personnel
material_TR_StaffTile									 Carrelage du Personnel
material_X_StaffTile									 Carrelage du Personnel
material_Y_StaffTile									 Carrelage du Personnel
material_BL_StaffConcrete								 Béton du Personnel
material_BR_StaffConcrete								 Béton du Personnel
material_C_StaffConcrete								 Béton du Personnel
material_T3_StaffConcrete								 Béton du Personnel
material_T6_StaffConcrete								 Béton du Personnel
material_T9_StaffConcrete								 Béton du Personnel
material_T12_StaffConcrete								 Béton du Personnel
material_TL_StaffConcrete								 Béton du Personnel
material_TR_StaffConcrete								 Béton du Personnel
material_X_StaffConcrete								 Béton du Personnel
material_Y_StaffConcrete								 Béton du Personnel
material_BL_MinimumTile									 Carrelage Séc.Minimum
material_BR_MinimumTile									 Carrelage Séc.Minimum
material_C_MinimumTile									 Carrelage Séc.Minimum
material_T3_MinimumTile									 Carrelage Séc.Minimum
material_T6_MinimumTile									 Carrelage Séc.Minimum
material_T9_MinimumTile									 Carrelage Séc.Minimum
material_T12_MinimumTile								 Carrelage Séc.Minimum
material_TL_MinimumTile									 Carrelage Séc.Minimum
material_TR_MinimumTile									 Carrelage Séc.Minimum
material_X_MinimumTile									 Carrelage Séc.Minimum
material_Y_MinimumTile									 Carrelage Séc.Minimum
material_BL_MinimumConcrete								 Béton Séc.Minimum
material_BR_MinimumConcrete								 Béton Séc.Minimum
material_C_MinimumConcrete								 Béton Séc.Minimum
material_T3_MinimumConcrete								 Béton Séc.Minimum
material_T6_MinimumConcrete								 Béton Séc.Minimum
material_T9_MinimumConcrete								 Béton Séc.Minimum
material_T12_MinimumConcrete							 Béton Séc.Minimum
material_TL_MinimumConcrete								 Béton Séc.Minimum
material_TR_MinimumConcrete								 Béton Séc.Minimum
material_X_MinimumConcrete								 Béton Séc.Minimum
material_Y_MinimumConcrete								 Béton Séc.Minimum
material_BL_MediumTile									 Carrelage Séc.Moyen
material_BR_MediumTile									 Carrelage Séc.Moyen
material_C_MediumTile									 Carrelage Séc.Moyen
material_T3_MediumTile									 Carrelage Séc.Moyen
material_T6_MediumTile									 Carrelage Séc.Moyen
material_T9_MediumTile									 Carrelage Séc.Moyen
material_T12_MediumTile									 Carrelage Séc.Moyen
material_TL_MediumTile									 Carrelage Séc.Moyen
material_TR_MediumTile									 Carrelage Séc.Moyen
material_X_MediumTile									 Carrelage Séc.Moyen
material_Y_MediumTile									 Carrelage Séc.Moyen
material_BL_MediumConcrete								 Béton Séc.Moyen
material_BR_MediumConcrete								 Béton Séc.Moyen
material_C_MediumConcrete								 Béton Séc.Moyen
material_T3_MediumConcrete								 Béton Séc.Moyen
material_T6_MediumConcrete								 Béton Séc.Moyen
material_T9_MediumConcrete								 Béton Séc.Moyen
material_T12_MediumConcrete								 Béton Séc.Moyen
material_TL_MediumConcrete								 Béton Séc.Moyen
material_TR_MediumConcrete								 Béton Séc.Moyen
material_X_MediumConcrete								 Béton Séc.Moyen
material_Y_MediumConcrete								 Béton Séc.Moyen
material_BL_MaximumTile									 Carrelage Séc.Max
material_BR_MaximumTile									 Carrelage Séc.Max
material_C_MaximumTile									 Carrelage Séc.Max
material_T3_MaximumTile									 Carrelage Séc.Max
material_T6_MaximumTile									 Carrelage Séc.Max
material_T9_MaximumTile									 Carrelage Séc.Max
material_T12_MaximumTile								 Carrelage Séc.Max
material_TL_MaximumTile									 Carrelage Séc.Max
material_TR_MaximumTile									 Carrelage Séc.Max
material_X_MaximumTile									 Carrelage Séc.Max
material_Y_MaximumTile									 Carrelage Séc.Max
material_BL_MaximumConcrete								 Béton Séc.Max
material_BR_MaximumConcrete								 Béton Séc.Max
material_C_MaximumConcrete								 Béton Séc.Max
material_T3_MaximumConcrete								 Béton Séc.Max
material_T6_MaximumConcrete								 Béton Séc.Max
material_T9_MaximumConcrete								 Béton Séc.Max
material_T12_MaximumConcrete							 Béton Séc.Max
material_TL_MaximumConcrete								 Béton Séc.Max
material_TR_MaximumConcrete								 Béton Séc.Max
material_X_MaximumConcrete								 Béton Séc.Max
material_Y_MaximumConcrete								 Béton Séc.Max
material_BL_ProtectiveTile								 Carrelage Surv.Préventive
material_BR_ProtectiveTile								 Carrelage Surv.Préventive
material_C_ProtectiveTile								 Carrelage Surv.Préventive
material_T3_ProtectiveTile								 Carrelage Surv.Préventive
material_T6_ProtectiveTile								 Carrelage Surv.Préventive
material_T9_ProtectiveTile								 Carrelage Surv.Préventive
material_T12_ProtectiveTile								 Carrelage Surv.Préventive
material_TL_ProtectiveTile								 Carrelage Surv.Préventive
material_TR_ProtectiveTile								 Carrelage Surv.Préventive
material_X_ProtectiveTile								 Carrelage Surv.Préventive
material_Y_ProtectiveTile								 Carrelage Surv.Préventive
material_BL_ProtectiveConcrete							 Béton Surv.Préventive
material_BR_ProtectiveConcrete							 Béton Surv.Préventive
material_C_ProtectiveConcrete							 Béton Surv.Préventive
material_T3_ProtectiveConcrete							 Béton Surv.Préventive
material_T6_ProtectiveConcrete							 Béton Surv.Préventive
material_T9_ProtectiveConcrete							 Béton Surv.Préventive
material_T12_ProtectiveConcrete							 Béton Surv.Préventive
material_TL_ProtectiveConcrete							 Béton Surv.Préventive
material_TR_ProtectiveConcrete							 Béton Surv.Préventive
material_X_ProtectiveConcrete							 Béton Surv.Préventive
material_Y_ProtectiveConcrete							 Béton Surv.Préventive
material_BL_SupermaxTile								 Carrelage Sec.TrèsHaut
material_BR_SupermaxTile								 Carrelage Sec.TrèsHaut
material_C_SupermaxTile									 Carrelage Sec.TrèsHaut
material_T3_SupermaxTile								 Carrelage Sec.TrèsHaut
material_T6_SupermaxTile								 Carrelage Sec.TrèsHaut
material_T9_SupermaxTile								 Carrelage Sec.TrèsHaut
material_T12_SupermaxTile								 Carrelage Sec.TrèsHaut
material_TL_SupermaxTile								 Carrelage Sec.TrèsHaut
material_TR_SupermaxTile								 Carrelage Sec.TrèsHaut
material_X_SupermaxTile									 Carrelage Sec.TrèsHaut
material_Y_SupermaxTile									 Carrelage Sec.TrèsHaut
material_BL_SupermaxConcrete							 Béton Sec.TrèsHaut
material_BR_SupermaxConcrete							 Béton Sec.TrèsHaut
material_C_SupermaxConcrete								 Béton Sec.TrèsHaut
material_T3_SupermaxConcrete							 Béton Sec.TrèsHaut
material_T6_SupermaxConcrete							 Béton Sec.TrèsHaut
material_T9_SupermaxConcrete							 Béton Sec.TrèsHaut
material_T12_SupermaxConcrete							 Béton Sec.TrèsHaut
material_TL_SupermaxConcrete							 Béton Sec.TrèsHaut
material_TR_SupermaxConcrete							 Béton Sec.TrèsHaut
material_X_SupermaxConcrete								 Béton Sec.TrèsHaut
material_Y_SupermaxConcrete								 Béton Sec.TrèsHaut
